year,unitid,inst_name,state_abbr,inst_control,institution_level
"2016","130934","Delaware State University","DE","Public","Four or more years"
"2016","130882","Delaware Technical Community College-Central Office","DE","Public","Four or more years"
"2016","130907","Delaware Technical Community College-Terry","DE","Public","Four or more years"
"2016","130943","University of Delaware","DE","Public","Four or more years"
"2015","130934","Delaware State University","DE","Public","Four or more years"
"2015","130943","University of Delaware","DE","Public","Four or more years"
"2014","130934","Delaware State University","DE","Public","Four or more years"
"2014","130943","University of Delaware","DE","Public","Four or more years"
"2013","130934","Delaware State University","DE","Public","Four or more years"
"2013","130943","University of Delaware","DE","Public","Four or more years"
"2012","130934","Delaware State University","DE","Public","Four or more years"
"2012","130943","University of Delaware","DE","Public","Four or more years"
"2011","130934","Delaware State University","DE","Public","Four or more years"
"2011","130943","University of Delaware","DE","Public","Four or more years"
"2010","130934","Delaware State University","DE","Public","Four or more years"
"2010","130943","University of Delaware","DE","Public","Four or more years"
"2009","130934","Delaware State University","DE","Public","Four or more years"
"2009","130943","University of Delaware","DE","Public","Four or more years"
"2008","130934","Delaware State University","DE","Public","Four or more years"
"2008","130943","University of Delaware","DE","Public","Four or more years"
"2007","130934","Delaware State University","DE","Public","Four or more years"
"2007","130943","University of Delaware","DE","Public","Four or more years"
"2006","130934","Delaware State University","DE","Public","Four or more years"
"2006","130943","University of Delaware","DE","Public","Four or more years"
"2005","130934","Delaware State University","DE","Public","Four or more years"
"2005","130943","University of Delaware","DE","Public","Four or more years"
"2004","130934","DELAWARE STATE UNIVERSITY","DE","Public","Four or more years"
"2004","130943","UNIVERSITY OF DELAWARE","DE","Public","Four or more years"
"2003","130934","DELAWARE STATE UNIVERSITY","DE","Public","Four or more years"
"2003","130943","UNIVERSITY OF DELAWARE","DE","Public","Four or more years"
"2002","130934","DELAWARE STATE UNIVERSITY","DE","Public","Four or more years"
"2002","130943","UNIVERSITY OF DELAWARE","DE","Public","Four or more years"
"2001","130934","DELAWARE STATE UNIVERSITY","DE","Public","Four or more years"
"2001","130943","UNIVERSITY OF DELAWARE","DE","Public","Four or more years"